Festival_Year,Artist_Name
roskilde-festival-1981,mikael-rickfors
roskilde-festival-1981,malurt
roskilde-festival-1981,pelle-miljoona-oy
roskilde-festival-1981,sneakers
roskilde-festival-1981,saga
roskilde-festival-1981,gruppo-sportivo
roskilde-festival-1981,dag-vag
roskilde-festival-1981,anima
roskilde-festival-1981,anne-linnet-band
roskilde-festival-1981,delta-cross-band
roskilde-festival-1981,pinkerton
roskilde-festival-1981,klich-
roskilde-festival-1981,jan-reinemo-marianne-knorr
roskilde-festival-1981,earl-okin
roskilde-festival-1981,skilfinger
roskilde-festival-1981,bob-kerr-s-whoopee-band
roskilde-festival-1981,dronningens-livstykke
roskilde-festival-1981,s-w-80
roskilde-festival-1981,scrumpy
roskilde-festival-1981,joila
roskilde-festival-1981,mike-whellans
roskilde-festival-1981,ballet-mecanique
roskilde-festival-1981,van-dango
roskilde-festival-1981,hot-chili-stompers
roskilde-festival-1981,voxpop
roskilde-festival-1981,de-danann
roskilde-festival-1981,queen-ida-the-bon-temps-zydeco-band
roskilde-festival-1981,totalpetroleum
smukfest-1981,doc
smukfest-1981,tv-2
smukfest-1981,sneakers
smukfest-1981,luna
smukfest-1981,argos
smukfest-1981,marble-arch
smukfest-1981,ublabu
smukfest-1981,joila
smukfest-1981,humbug
smukfest-1981,trash-band
roskilde-festival-1982,jackson-browne
roskilde-festival-1982,ulf-lundell
roskilde-festival-1982,tredje-tilstand
roskilde-festival-1982,gnags
roskilde-festival-1982,r-dtj-rnen
roskilde-festival-1982,roskilde-spillemandslaug
roskilde-festival-1982,folkemusiksammenslutningen
roskilde-festival-1982,clinic-q
roskilde-festival-1982,brede-big-band
roskilde-festival-1982,road-runner-string-band
roskilde-festival-1982,harp-n-drum
roskilde-festival-1982,trille-m-band
roskilde-festival-1982,thad-jones-eclipse
roskilde-festival-1982,haster-show-band
roskilde-festival-1982,eva-dahlgren
roskilde-festival-1982,big-mama
roskilde-festival-1982,before
roskilde-festival-1982,ebba-gr-n
roskilde-festival-1982,ideal
roskilde-festival-1982,rough-trade
roskilde-festival-1982,hassisen-kone
roskilde-festival-1982,osibisa
roskilde-festival-1982,santa-cruz
roskilde-festival-1982,malurt
roskilde-festival-1982,hans-theessink
roskilde-festival-1982,sneakers
roskilde-festival-1982,cheetah
roskilde-festival-1982,battlefield-band
roskilde-festival-1982,erik-grip
roskilde-festival-1982,scatterbrain
roskilde-festival-1982,alpha-centauri
roskilde-festival-1982,andrew-john
roskilde-festival-1982,jan-hammarlund
roskilde-festival-1982,defunkt
roskilde-festival-1982,klich-
roskilde-festival-1982,annika-hoydal
roskilde-festival-1982,aston-reymers-rivaler
roskilde-festival-1982,jomfru-ane-band
roskilde-festival-1982,mek-pek-party-band
roskilde-festival-1982,alex-campbell
roskilde-festival-1982,filarfolket
roskilde-festival-1982,la-bamboche
roskilde-festival-1982,bogart
roskilde-festival-1982,arkadaslar
roskilde-festival-1982,per-dich
roskilde-festival-1982,doraz
roskilde-festival-1982,jtb-doraz
roskilde-festival-1982,hom-bru
roskilde-festival-1982,new-celeste
roskilde-festival-1982,jango-edwards
roskilde-festival-1982,babatunde-tony-ellis
roskilde-festival-1982,lissa
roskilde-festival-1982,bayou-blues-band
roskilde-festival-1982,henning-st-rk-band
roskilde-festival-1982,m-kvir-g
roskilde-festival-1982,jef-jaisun
roskilde-festival-1982,lotte-r-mer-band
roskilde-festival-1982,voxpop
smukfest-1982,bj-rn-afzelius-globetrotters
smukfest-1982,paul-banks-m-band
smukfest-1982,torben-harefods-quartet
smukfest-1982,freche-bande
smukfest-1982,virring-skoles-beatkor
smukfest-1982,loaded-dice-band
smukfest-1982,lone-andersen-band
smukfest-1982,t-sedrengene
smukfest-1982,the-network
smukfest-1982,stig-m-ller
smukfest-1982,pia-raug
smukfest-1982,anne-linnet-band
smukfest-1982,xtravaganza
smukfest-1982,bogart
smukfest-1982,ublabu
smukfest-1982,picnic
roskilde-festival-1983,simple-minds
roskilde-festival-1983,10cc
roskilde-festival-1983,warren-zevon
roskilde-festival-1983,marillion
roskilde-festival-1983,echo-the-bunnymen
roskilde-festival-1983,andreas-vollenweider-friends
roskilde-festival-1983,ge-aleksandersen-sambandet
roskilde-festival-1983,tv-2
roskilde-festival-1983,run-rig
roskilde-festival-1983,incantation
roskilde-festival-1983,jaco-pastorius-the-world-of-mouth-band
roskilde-festival-1983,linton-kwesi-johnson-dennis-bovell
roskilde-festival-1983,dan-hylander-py-backman-raj-montana-band
roskilde-festival-1983,blast
roskilde-festival-1983,oregon-city-jazzband
roskilde-festival-1983,1-hollandse-dansband
roskilde-festival-1983,pekka-pohoja-band
roskilde-festival-1983,pia-raug-m-band
roskilde-festival-1983,rejseorkestret
roskilde-festival-1983,warshore
roskilde-festival-1983,carsten-vog-l-3-1
roskilde-festival-1983,poul-banks-og-musikorkestret
roskilde-festival-1983,fajabefa-agathorn
roskilde-festival-1983,southside-johnny-the-asbury-dukes
roskilde-festival-1983,t-sedrengene
roskilde-festival-1983,lars-lilholt
roskilde-festival-1983,king-sunny-ade
roskilde-festival-1983,x-ray
roskilde-festival-1983,before
roskilde-festival-1983,eldkvarn
roskilde-festival-1983,dougie-maclean
roskilde-festival-1983,freja
roskilde-festival-1983,c-v-j-rgensen
roskilde-festival-1983,slogan
roskilde-festival-1983,allan-taylor
roskilde-festival-1983,spliff
roskilde-festival-1983,teenagers
roskilde-festival-1983,forerunner
roskilde-festival-1983,sneakers
roskilde-festival-1983,erik-grip-m-band
roskilde-festival-1983,dieters-lieder
roskilde-festival-1983,anima
roskilde-festival-1983,manaam
roskilde-festival-1983,the-albion-band
roskilde-festival-1983,klich-
roskilde-festival-1983,mek-pek-party-band
roskilde-festival-1983,sods
roskilde-festival-1983,vujicsics
roskilde-festival-1983,bjarne-jes-hansen
roskilde-festival-1983,the-nits
roskilde-festival-1983,t-brud
roskilde-festival-1983,commando-m-pigg
roskilde-festival-1983,warm-guns
roskilde-festival-1983,bob-kerr-s-whoopee-band
roskilde-festival-1983,unknown-gender
roskilde-festival-1983,van-dango
roskilde-festival-1983,marie-bergman-band
roskilde-festival-1983,carport
roskilde-festival-1983,pierre-d-rge-new-jungle-orchestra
roskilde-festival-1983,juggernaut-string-band
roskilde-festival-1983,t-c-matic
smukfest-1983,boobs
smukfest-1983,rock-kapellet
smukfest-1983,super-sonic-seasick-band
smukfest-1983,poul-dissing-peter-thorup
smukfest-1983,paul-banks-musikorkestret
smukfest-1983,bj-rn-afzelius-globetrotters
smukfest-1983,mainsqueeze
smukfest-1983,c-v-j-rgensen
smukfest-1983,sneakers
smukfest-1983,rozet
smukfest-1983,luna
smukfest-1983,pia-raug
smukfest-1983,frede-fup-
smukfest-1983,xtravaganza
smukfest-1983,warm-guns
smukfest-1983,buzstop
smukfest-1983,marie-bergman-band
smukfest-1983,jukka-tolonen-band
roskilde-festival-1984,the-smiths
roskilde-festival-1984,new-order
roskilde-festival-1984,los-originales
roskilde-festival-1984,the-band
roskilde-festival-1984,lou-reed
roskilde-festival-1984,paul-young
roskilde-festival-1984,killing-joke
roskilde-festival-1984,lolita-pop
roskilde-festival-1984,tv-2
roskilde-festival-1984,johnny-winter
roskilde-festival-1984,tri-yann
roskilde-festival-1984,the-oyster-band
roskilde-festival-1984,disneyland-after-dark
roskilde-festival-1984,lars-lilholt-m-band
roskilde-festival-1984,liederlich-spielleut
roskilde-festival-1984,border-ride
roskilde-festival-1984,halberg-larsen-band
roskilde-festival-1984,pia-raug-michael-friis
roskilde-festival-1984,fajabefa-agathorn
roskilde-festival-1984,poul-dissing-peter-thorup
roskilde-festival-1984,stanley-the-livingstones
roskilde-festival-1984,visekvadrillen
roskilde-festival-1984,bj-rn-afzelius-globetrotters
roskilde-festival-1984,trille-m-band
roskilde-festival-1984,zsukada
roskilde-festival-1984,gnags
roskilde-festival-1984,imperiet
roskilde-festival-1984,8000-c
roskilde-festival-1984,republica
roskilde-festival-1984,the-alarm
roskilde-festival-1984,hans-theessink
roskilde-festival-1984,ina-deter-band
roskilde-festival-1984,sielun-veljet
roskilde-festival-1984,can-can
roskilde-festival-1984,witch-cross
roskilde-festival-1984,kormor-n
roskilde-festival-1984,groupa
roskilde-festival-1984,james-blood-ulmer
roskilde-festival-1984,super-karla
roskilde-festival-1984,ar-folk
roskilde-festival-1984,filarfolket
roskilde-festival-1984,doraz
roskilde-festival-1984,t-brud
roskilde-festival-1984,warm-guns
roskilde-festival-1984,holy-toy
roskilde-festival-1984,kai-martin-stick
roskilde-festival-1984,arizona-smoke-revue
roskilde-festival-1984,city-x
roskilde-festival-1984,istanbul-express
roskilde-festival-1984,slips
roskilde-festival-1984,per-fjord
roskilde-festival-1984,maui-wowie
roskilde-festival-1984,telephone
roskilde-festival-1984,anne-linnet-marquis-de-sade
roskilde-festival-1984,cathy-lesurf
roskilde-festival-1984,strube-band
roskilde-festival-1984,johnny-coppin
smukfest-1996,boney-m
smukfest-1996,coolio
smukfest-1996,the-animals
smukfest-1996,stone-roses
smukfest-1996,paul-young
smukfest-1996,suzi-quatro
smukfest-1996,little-feat
smukfest-1996,smokie
smukfest-1996,tv-2
smukfest-1996,kid-creole-the-coconuts
smukfest-1996,dm-i-rock
smukfest-1996,doky-brothers-curtis-steigers
smukfest-1996,lars-vegas-the-evergreens
smukfest-1996,erling-erlang
smukfest-1996,gnags
smukfest-1996,ib-glindemann-swing-orkester
smukfest-1996,promenadeorkestret-lauseniana
smukfest-1996,jimmy-somerville
smukfest-1996,bamses-venner
smukfest-1996,poul-krebs
smukfest-1996,walter-trout
smukfest-1996,erik-gadd
smukfest-1996,fish
smukfest-1996,big-fat-snake
smukfest-1996,dizzy-mizz-lizzy
smukfest-1996,kashmir
smukfest-1996,moonjam
smukfest-1996,omar-the-howlers
smukfest-1996,ritchie-blackmores-rainbow
smukfest-1996,the-savage-rose
smukfest-1996,leningrad-cowboys
smukfest-1996,rebecka-t-rnqvist
smukfest-1996,caroline-henderson
smukfest-1996,humleridderne
smukfest-1996,baal
smukfest-1996,stig-m-ller
smukfest-1996,drori-hansen-furniture
smukfest-1996,earth-nation
smukfest-1996,ester-brohus
smukfest-1996,strawberry-slaughterhouse
smukfest-1996,susi-hyldgaard
smukfest-1996,baby-hotel-hunger
smukfest-1996,klaus-handsome
smukfest-1996,sven-v-th
smukfest-1996,led-zeppelin-jam
smukfest-1984,gnags
smukfest-1984,halberg-larsen-band
smukfest-1984,salsa-nama
smukfest-1984,torben-harefods-quartet
smukfest-1984,mainsqueeze
smukfest-1984,sally-oldfield
smukfest-1984,re-flex
smukfest-1984,anima
smukfest-1984,sky-high
smukfest-1984,kangaroo
smukfest-1984,svartvitt
smukfest-1984,strube-band
smukfest-1984,totalpetroleum
smukfest-1984,oreo-moon
smukfest-1984,caddisfly
smukfest-1984,cue
roskilde-festival-1985,the-cure
roskilde-festival-1985,the-clash
roskilde-festival-1985,ramones
roskilde-festival-1985,leonard-cohen
roskilde-festival-1985,boobs
roskilde-festival-1985,indochine
roskilde-festival-1985,paul-young
roskilde-festival-1985,marie-bergman-the-magic-body-band
roskilde-festival-1985,kukl
roskilde-festival-1985,billy-bragg
roskilde-festival-1985,style-council
roskilde-festival-1985,nina-hagen
roskilde-festival-1985,tv-2
roskilde-festival-1985,haugaard-carlsen
roskilde-festival-1985,jango-edwards-friends
roskilde-festival-1985,lars-hug-s-cityslang
roskilde-festival-1985,schmeltztiegel
roskilde-festival-1985,familieorkestret
roskilde-festival-1985,poul-dissing-benny-andersen-egon-aagaard-jens-jefsen
roskilde-festival-1985,folkemusiksammenslutningen
roskilde-festival-1985,fajabefa-agathorn
roskilde-festival-1985,la-bottine-souriante
roskilde-festival-1985,luther-allison
